id,img1,price,price2,img2,text,text2
1,../image/2018121217581856!200x200.jpg,322,389,../image/ico_otc_r.gif,领券+好礼】汇仁肾宝片126s 调和阴阳，温阳补肾，扶正固本。用于腰腿酸痛，精神不振，夜尿频多，畏寒怕冷，妇女白带清稀。,加入购物车
2,../image/20181010101535717!200x200.jpg,60.5,75,../image/ico_rx.gif,左卡尼汀口服溶液(东维力)(国产) 用于防治左卡尼汀缺乏。如慢性肾衰病人因血液透析所致的左卡尼汀缺乏。,查看详情
3,../image/20181012134240151!200x200.jpg,16,22,../image/ico_rx.gif,送腰痛贴】同仁堂 六味地黄丸(浓缩丸) 120s 滋阴补肾。用于肾阴亏损，头晕耳鸣，腰膝酸软，骨蒸潮热，盗汗遗精。,加入购物车
4,../image/nopic.gif,498,0,../image/ico_otc_r.gif,周公百岁酒 本品补血生精，调气壮神。用于气血两亏，真阴不足，四肢酸软。,加入购物车
5,../image/2018127155438398!200x200.jpg,429,690,../image/ico_rx.gif,金戈  50mg*20片  枸橼酸西地那非片 适用于治疗勃起功能障碍。,查看详情
6,../image/2018101213472468!200x200.jpg,11.9,23,../image/ico_rx.gif,金匮肾气丸(同仁堂)(水蜜丸) 温补肾阳，化气行水。用于肾虚水肿，腰膝酸软，小便不利，畏寒肢冷。,查看详情
7,../image/2018101010121572!200x200.jpg,47.5,98,../image/ico_rx.gif,疏肝益阳胶囊(益佰) 疏肝解郁活血补肾。用于肝郁肾虚和肝郁肾虚兼血瘀证所致功能性阳痿和轻度动脉供血不足性阳痿，症见阳痿，阴茎痿软不举或举而不坚，胸闷善太息，胸胁胀满，腰膝酸软，舌淡或有瘀斑，脉弦或弦细。,查看详情
8,../image/40df00b0c997403fb9ac16a0a22cf963!200x200.jpg,258,380,../image/ico_rx.gif,金戈  25mg*21片   枸橼酸西地那非片 适用于治疗勃起功能障碍。,查看详情
9,../image/20181112165355992!200x200.jpg,4,22,../image/ico_rx.gif,领券+好礼】汇仁肾宝片126s 调和阴阳，温阳补肾，扶正固本。用于腰腿酸痛，精神不振，夜尿频多，畏寒怕冷，妇女白带清稀。,查看详情
10,../image/b1e8d82f780b4bb0b4586603b08d5d9b!200x200.jpg,47,80,../image/ico_rx.gif,金戈 25mg*3片  枸橼酸西地那非片 适用于治疗勃起功能障碍。,查看详情
11,../image/2018109163313607!200x200.jpg,16,49.6,../image/ico_rx.gif,前列舒乐胶囊(银涛) 补肾益气，化瘀通淋。用于肾脾双虚，气滞血瘀，前列腺增生，慢性前列腺炎；面色晃白，神疲乏力，腰膝疲软无力，小腹坠胀，小便不爽，点滴不出，或尿频、尿急、尿道涩痛。,查看详情
12,../image/20181128182637394!200x200.jpg,38,118,../image/ico_rx.gif,引阳索胶囊(育林) 补肾壮阳，生津。用于阳痿早泄，腰膝酸软，津污自汗，头目眩晕等症。,查看详情
13,../image/20181022161010416!200x200.jpg,27,65,../image/ico_rx.gif,右归丸(同仁堂) 温补肾阳，填精止遗。用于肾阳不足，命门火衰，腰膝酸冷，精神不振，怯寒畏冷，阳痿遗精，大便溏薄，尿频而清。,查看详情
14,../image/2018112818507113!200x200.jpg,208,278,../image/ico_rx.gif,盐酸达泊西汀片(必利劲) 必利劲适用于治疗符合下列所有条件的18至64岁男性早泄（PE）患者：1.阴茎在插入阴道之前、过程当中或者插入后不久，以及未获性满足之前仅仅由于极小的性刺激即发生持续的或反复的射精；2.因早泄（PE）而导致的显著性个人苦恼或人际交往障碍；3.射精控制能力不佳。,查看详情
15,../image/2016318161722338!200x200.jpg,8,39,../image/ico_rx.gif,非那雄胺片(浦列安) 本品适用于治疗已有症状的良性前列腺增生症（BPH）： 1、改善症状。2、降低发生急性尿潴留的危险性。 3、降低需进行经尿道切除前列腺（TURP）和前列腺切除术的危险性。,查看详情
